,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
69,文華高樓美景四房,台北市大同區承德路二段,3.2年,大樓,建坪 80.14,主+陽 43,4房2廳2衛,18樓/18樓,"['有裝潢', '有景觀', '有陽台']","7,500"
70,大湖國宅3房大湖國宅,台北市內湖區成功路五段,25.4年,大樓,建坪 46.74,主+陽 31.6,3房2廳1.5衛,5樓/16樓,"['前後陽台', '有陽台', '房間皆有窗']","2,988"
71,華固名鑄樹海豪邸,台北市松山區敦化北路,2.1年,大樓,建坪 174.2,主+陽 83.39,3房2廳4衛,9樓/23樓,"['有裝潢', '有景觀', '前後陽台']","29,000"
72,低總天母2樓同德社區,台北市北投區同德街,36.2年,公寓,建坪 31.62,主+陽 27.81,3房2廳2衛,2樓/5樓,"['有裝潢', '前後陽台', '有陽台']","1,650"
73,高樓景觀極品美屋建築賞,台北市松山區八德路四段,18.5年,大樓,建坪 25.45,主+陽 18.56,3房2廳1衛,12樓/14樓,"['有裝潢', '有景觀', '有陽台']","2,388"
74,基泰御峰獨特大戶基泰御峰,台北市內湖區成功路四段,6.3年,大樓,建坪 114.76,主+陽 57.7,4房2廳3衛1室,3樓/23樓,"['有景觀', '前後陽台', '有陽台']","13,600"
75,華西電梯收租首選,台北市萬華區華西街,38.2年,華廈,建坪 10.02,主+陽 6.38,1房1廳1衛,8樓/8樓,"['有裝潢', '房間皆有窗', '具垃圾處理']",420
76,中興花園稀有釋出中興花園新城,台北市大同區哈密街,21.9年,大樓,建坪 56.47,主+陽 33.55,3房2廳2衛,7樓/12樓,"['有裝潢', '有景觀', '前後陽台']","3,230"
77,政大精緻三房車位御政園,台北市文山區政大三街,11.5年,華廈,建坪 81.52,主+陽 40.08,3房2廳2衛,4樓/5樓,"['有裝潢', '有景觀', '前後陽台']","3,850"
78,華西電梯小資首選,台北市萬華區華西街,38.2年,華廈,建坪 10.8,主+陽 6.92,1房1廳1衛,8樓/8樓,"['有裝潢', '房間皆有窗', '近公園']",460
79,行天宮捷運大四房,台北市中山區民生東路二段,35.2年,華廈,建坪 45.36,主+陽 41.7,4房2廳2衛,2樓/6樓,"['有裝潢', '前後陽台', '有陽台']","3,188"
80,低總價小資公寓宅,台北市中正區泉州街,53.7年,公寓,建坪 18.01,主+陽 --,2房2廳1衛,2樓/3樓,"['有裝潢', '有景觀', '有陽台']","1,198"
81,試院邊間景觀三房禮院,台北市文山區木柵路一段,13.1年,大樓,建坪 70.59,主+陽 34.41,3房2廳2衛1室,9樓/12樓,"['有裝潢', '有景觀', '前後陽台']","3,480"
82,天母地標好樂活,台北市士林區中山北路六段,12.2年,大樓,建坪 43.47,主+陽 19.15,2房2廳1衛,3樓/15樓,"['有裝潢', '有景觀', '有陽台']","3,398"
83,旺來＃宏盛精緻戶宏盛天母公園,台北市北投區中山北路七段,13.4年,華廈,建坪 68.41,主+陽 37.78,4房2廳2衛,5樓/7樓,"['有裝潢', '有景觀', '前後陽台']","3,480"
84,一層一戶敦南綠蔭吟龍名廈,台北市大安區敦化南路一段,36.2年,大樓,建坪 80.48,主+陽 54.9,3房2廳2衛1室,10樓/14樓,"['有裝潢', '有景觀', '前後陽台']","9,028"
85,關渡美萊茵含車位萊茵尊品,台北市北投區知行路,23.9年,大樓,建坪 32.59,主+陽 12.63,1房2廳1衛,5樓/13樓,"['有裝潢', '有景觀', '有陽台']","1,280"
86,國館巨蛋逸仙名廈逸欣大廈,台北市信義區逸仙路,39.3年,華廈,建坪 45.79,主+陽 39.26,3房2廳2衛,3樓/7樓,"['有裝潢', '前後陽台', '有陽台']","5,128"
87,捷運新生活首購宅友座新生活,台北市內湖區內湖路二段,15.2年,大樓,建坪 21.25,主+陽 10.13,1廳1衛,8樓/12樓,"['有裝潢', '有景觀', '廁所開窗']","1,380"
88,樸園七期獨棟大戶,台北市文山區和興路,9.1年,華廈,建坪 38.58,主+陽 23.9,3房2廳2衛,6樓/7樓,"['前後陽台', '有陽台', '房間皆有窗']","2,680"
89,大陸工程境峰豪邸境峰,台北市中山區民生東路二段,10.9年,華廈,建坪 103.48,主+陽 47.16,3房2廳2衛1室,4樓/10樓,"['有裝潢', '有景觀', '前後陽台']","7,980"
90,專任明水漾美屋,台北市中山區敬業三路,17.0年,華廈,建坪 69.61,主+陽 43.4,4房2廳2衛,4樓/9樓,"['有裝潢', '前後陽台', '有陽台']","8,500"
91,【精選】國館雅宴雅宴LaVie,台北市大安區光復南路,15.0年,大樓,建坪 20.31,主+陽 14.31,2房1廳1衛1室,3樓/11樓,"['廁所開窗', '警衛管理', '具垃圾處理']","2,588"
92,敦小介壽電梯美宅三普環翠庭,台北市松山區八德路三段,32.0年,大樓,建坪 25.2,主+陽 20.82,2房2廳1衛,9樓/12樓,"['有裝潢', '有景觀', '有陽台']","2,080"
93,附小師大職舍美廈師大職舍(華廈區...,台北市大安區和平東路二段,42.4年,華廈,建坪 41.45,主+陽 41.45,3房2廳2衛1室,4樓/7樓,"['有裝潢', '有陽台', '房間皆有窗']","4,100"
94,傳世敦南美景謐境家美敦南廣場大廈,台北市大安區敦化南路二段,31.2年,大樓/辦公,建坪 56.8,主+陽 48.54,4房2廳2衛1室,20樓/21樓,"['有裝潢', '有景觀', '有陽台']","6,988"
95,長泰御品苑三房泰興御品苑,台北市萬華區長泰街,8.7年,大樓,建坪 48.81,主+陽 26.88,3房2廳2衛,8樓/11樓,"['有裝潢', '有景觀', '前後陽台']","2,780"
96,長虹凌雲四房豪邸長虹凌雲,台北市內湖區文德路,11.0年,大樓,建坪 89.54,主+陽 38.03,4房2廳2衛,6樓/17樓,"['有裝潢', '有景觀', '前後陽台']","6,250"
97,新生北低總價美屋,台北市中山區新生北路二段,40.4年,大樓,建坪 13.58,主+陽 --,1房1廳1衛,12樓/12樓,"['有裝潢', '有景觀', '有陽台']",760
